gene,p_val,avg_log2FC,padj
AL445193.2,6.49569235945804E-06,-2.25848304183915,0.0073088718467077
AC010542.2,0.0001525671824907,-2.13005680837851,0.0259119527017153
IL20RB-AS1,0.0025985222997121,-2.10991284152854,0.0833889428907631
FAM221B,0.000157277888453,-2.0862578050206,0.0259174318873759
AC079822.1,0.0005014017824557,-2.0626622756028,0.0401188279535555
AL353796.2,2.68586542777329E-05,-2.04005964857166,0.0117935695844396
AC008700.1,4.12365762566202E-05,-2.03646831416218,0.0132568228990702
AC004825.3,2.61144180588259E-05,-2.03319280612298,0.0117935695844396
AC100839.1,0.0002405223935151,-2.02407033787872,0.0303424801972711
AC022087.1,1.27040593671469E-05,-2.02328228960398,0.0084707844735831
AL022323.1,0.0002634662040927,-2.00571252322113,0.0303424801972711
PSG8,1.69618869455045E-08,-1.96320812842124,0.0003053648506799
AL590302.2,0.0001381230223927,-1.92484933604487,0.0252128993533604
LINC02462,0.0025234486910499,-1.89941924861954,0.0820029725360496
AC093151.8,0.0482246472130451,-1.8810030423348,0.298962921410623
AC009227.1,1.65810482460084E-06,-1.86939634186372,0.0037201506903406
AC023906.5,0.0002131597104995,-1.86242509761257,0.0282170166773789
AP003170.3,0.0002074680502897,-1.8565041954509,0.0278734873833311
LECT2,0.0014349329730624,-1.81044517391669,0.0659007610052134
AC138956.1,1.0759024780801E-05,-1.79169164196107,0.0077797654992915
AC006064.2,5.14626605532682E-05,-1.78473731960795,0.0140376102718256
PGM5,0.0002539383280643,-1.7790578707056,0.0303424801972711
FAT2,9.60643375046328E-05,-1.77739207498727,0.0198786927367345
EGOT,0.0007077701477173,-1.77017511382505,0.0472797060570267
SST,9.30243959312327E-06,-1.76884211503218,0.0077797654992915
EREG,1.61032665853648E-07,-1.75416595704998,0.0009663570277877
APOBEC4,0.0008434994895126,-1.75022938389867,0.0511297013794496
EDRF1-AS1,8.54560607177617E-06,-1.74040625662802,0.0077797654992915
AC023886.1,0.0005883823549461,-1.7402122432386,0.0435911421238478
